Latitude,Longitude,Elevation
4.610639000,-74.0731060,2628.0
4.610500000,-74.0732850,2629.0
4.610366000,-74.0733910,2630.0
4.610115000,-74.0736240,2631.0
4.609891000,-74.0737490,2629.0
4.609652000,-74.0739120,2631.0
4.609423000,-74.0740720,2631.0
4.609230000,-74.0742250,2631.0
4.609063000,-74.0743640,2631.0
4.608908000,-74.0745060,2631.0
4.608771000,-74.0746480,2631.0
4.608691000,-74.0747300,2630.0
4.608665000,-74.0747700,2630.0
4.608615000,-74.0747910,2631.0
4.608561000,-74.0748110,2630.0
4.608507000,-74.0748210,2630.0
4.608483000,-74.0748660,2631.0
4.608445000,-74.0749070,2631.0
4.608354000,-74.0749370,2631.0
4.608277000,-74.0750100,2629.0
4.608184000,-74.0750930,2629.0
4.608081000,-74.0751850,2629.0
4.608009000,-74.0752150,2628.0
4.607945000,-74.0752550,2627.0
4.607860000,-74.0752490,2629.0
4.607756000,-74.0751920,2634.0
4.607694000,-74.0751420,2635.0
4.607666000,-74.0751020,2636.0
4.607619000,-74.0750510,2635.0
4.607580000,-74.0750060,2634.0
4.607557000,-74.0749670,2635.0
4.607524000,-74.0749240,2635.0
4.607492000,-74.0748780,2635.0
4.607457000,-74.0748290,2635.0
4.607389000,-74.0747900,2636.0
4.607305000,-74.0747130,2635.0
4.607240000,-74.0746200,2635.0
4.607204000,-74.0745590,2636.0
4.607163000,-74.0745000,2636.0
4.607133000,-74.0744280,2636.0
4.607091000,-74.0743220,2636.0
4.607020000,-74.0742280,2636.0
4.606936000,-74.0740800,2636.0
4.606865000,-74.0739830,2636.0
4.606781000,-74.0738600,2636.0
4.606659000,-74.0737070,2636.0
4.606523000,-74.0735360,2635.0
4.606397000,-74.0733790,2636.0
4.606273000,-74.0732010,2637.0
4.606193000,-74.0731180,2638.0
4.606186000,-74.0730640,2640.0
4.606134000,-74.0729830,2641.0
4.606072000,-74.0728690,2641.0
4.605995000,-74.0727400,2641.0
4.605902000,-74.0725890,2641.0
4.605780000,-74.0724080,2642.0
4.605686000,-74.0722640,2643.0
4.605615000,-74.0721350,2643.0
4.605566000,-74.0720380,2640.0
4.605519000,-74.0720290,2634.0
4.605505000,-74.0719700,2637.0
4.605475000,-74.0719120,2636.0
4.605439000,-74.0718370,2636.0
4.605380000,-74.0717330,2637.0
4.605308000,-74.0716250,2637.0
4.605256000,-74.0715150,2637.0
4.605193000,-74.0714060,2637.0
4.605105000,-74.0712630,2637.0
4.605029000,-74.0711490,2637.0
4.604985000,-74.0710760,2638.0
4.604952000,-74.0710330,2639.0
4.604910000,-74.0710130,2640.0
4.604884000,-74.0709600,2640.0
4.604892000,-74.0709120,2641.0
4.604859000,-74.0708590,2640.0
4.604807000,-74.0707960,2641.0
4.604728000,-74.0707470,2642.0
4.604656000,-74.0707160,2643.0
4.604613000,-74.0706880,2644.0
4.604602000,-74.0706390,2645.0
4.604408000,-74.0703240,2645.0
4.604300000,-74.0701620,2646.0
4.604177000,-74.0698790,2646.0
4.603997000,-74.0695930,2640.0
4.603861000,-74.0694050,2639.0
4.603741000,-74.0691490,2640.0
4.603625000,-74.0690290,2639.0
4.603527000,-74.0688860,2641.0
4.603440000,-74.0687910,2645.0
4.603376000,-74.0687640,2645.0
4.603329000,-74.0687530,2645.0
4.603389000,-74.0687430,2646.0
4.603401000,-74.0687950,2646.0
4.603442000,-74.0688440,2646.0
4.603447000,-74.0687870,2645.0
4.603504000,-74.0686950,2651.0
4.603539000,-74.0686550,2653.0
4.603547000,-74.0687490,2662.0
4.603514000,-74.0687170,2661.0
4.603551000,-74.0687460,2663.0
4.603586000,-74.0687820,2667.0
4.603550000,-74.0686950,2668.0
4.603519000,-74.0686500,2669.0
4.603476000,-74.0686820,2667.0
4.603345000,-74.0687300,2665.0
4.603322000,-74.0686840,2665.0
4.603323000,-74.0686340,2666.0
4.603221000,-74.0684590,2664.0
4.603119000,-74.0683090,2666.0
4.603081000,-74.0681550,2665.0
4.603080000,-74.0680610,2664.0
4.603086000,-74.0679470,2663.0
4.603128000,-74.0679130,2662.0
4.603131000,-74.0678500,2659.0
4.603180000,-74.0678580,2657.0
4.603225000,-74.0678420,2656.0
4.603279000,-74.0677850,2657.0
4.603297000,-74.0678330,2661.0
4.603362000,-74.0678110,2660.0
4.603436000,-74.0677800,2660.0
4.603524000,-74.0677490,2660.0
4.603652000,-74.0677270,2660.0
4.603775000,-74.0677020,2658.0
4.603850000,-74.0676690,2657.0
4.603884000,-74.0676160,2657.0
4.603881000,-74.0675380,2657.0
4.603851000,-74.0674740,2657.0
4.603804000,-74.0673780,2657.0
4.603749000,-74.0672470,2658.0
4.603670000,-74.0671030,2658.0
4.603587000,-74.0669620,2658.0
4.603497000,-74.0667860,2658.0
4.603407000,-74.0666360,2658.0
4.603338000,-74.0665050,2657.0
4.603286000,-74.0664430,2657.0
4.603231000,-74.0663680,2657.0
4.603164000,-74.0663020,2657.0
4.603073000,-74.0662530,2658.0
4.602995000,-74.0661900,2657.0
4.602950000,-74.0661150,2658.0
4.602921000,-74.0660400,2658.0
4.602895000,-74.0659860,2658.0
4.602882000,-74.0659380,2658.0
4.602848000,-74.0658810,2658.0
4.602835000,-74.0658190,2658.0
4.602816000,-74.0657340,2658.0
4.602806000,-74.0656820,2658.0
4.602800000,-74.0655910,2658.0
4.602759000,-74.0655150,2658.0
4.602783000,-74.0654690,2659.0
4.602851000,-74.0654110,2658.0
4.602857000,-74.0653660,2659.0
4.602901000,-74.0653290,2660.0
4.602960000,-74.0653020,2660.0
4.603123000,-74.0652550,2659.0
4.603229000,-74.0652380,2659.0
4.603327000,-74.0651610,2658.0
4.603399000,-74.0650710,2659.0
4.603377000,-74.0649230,2659.0
4.603372000,-74.0647900,2659.0
4.603276000,-74.0646420,2658.0
4.603196000,-74.0645130,2660.0
4.603123000,-74.0643640,2660.0
4.603038000,-74.0641890,2661.0
4.603023000,-74.0640000,2662.0
4.603025000,-74.0638400,2662.0
4.603089000,-74.0636650,2663.0
4.603141000,-74.0635090,2663.0
4.603156000,-74.0633310,2663.0
4.603206000,-74.0631720,2663.0
4.603230000,-74.0630570,2664.0
4.603244000,-74.0629020,2665.0
4.603236000,-74.0627520,2665.0
4.603235000,-74.0626220,2665.0
4.603207000,-74.0625160,2666.0
4.603210000,-74.0624590,2666.0
4.603240000,-74.0624210,2666.0
4.603215000,-74.0624720,2669.0
4.603224000,-74.0625170,2672.0
4.603226000,-74.0624690,2674.0
4.603213000,-74.0624100,2675.0
4.603225000,-74.0623420,2677.0
4.603244000,-74.0622120,2679.0
4.603207000,-74.0621070,2681.0
4.603168000,-74.0619490,2679.0
4.603105000,-74.0618330,2680.0
4.603088000,-74.0617910,2680.0
4.603018000,-74.0616460,2681.0
4.602970000,-74.0615910,2684.0
4.602940000,-74.0615260,2684.0
4.602907000,-74.0614370,2685.0
4.602854000,-74.0613240,2685.0
4.602782000,-74.0611840,2684.0
4.602707000,-74.0610140,2685.0
4.602632000,-74.0608470,2686.0
4.602551000,-74.0606480,2686.0
4.602471000,-74.0604720,2686.0
4.602369000,-74.0602550,2686.0
4.602296000,-74.0600620,2687.0
4.602215000,-74.0598490,2687.0
4.602104000,-74.0595970,2687.0
4.601976000,-74.0594090,2687.0
4.601850000,-74.0593070,2687.0
4.601723000,-74.0593070,2688.0
4.601611000,-74.0592500,2687.0
4.601559000,-74.0592210,2688.0
4.601503000,-74.0592310,2688.0
4.601416000,-74.0592270,2689.0
4.601309000,-74.0592410,2690.0
4.601207000,-74.0592700,2691.0
4.601099000,-74.0593210,2691.0
4.601030000,-74.0593460,2691.0
4.600976000,-74.0593840,2691.0
4.600947000,-74.0594350,2692.0
4.600919000,-74.0595070,2692.0
4.600836000,-74.0595830,2692.0
4.600812000,-74.0596770,2692.0
4.600792000,-74.0597520,2692.0
4.600737000,-74.0598190,2693.0
4.600693000,-74.0598980,2693.0
4.600669000,-74.0600170,2693.0
4.600666000,-74.0600710,2693.0
4.600659000,-74.0601980,2693.0
4.600669000,-74.0603450,2693.0
4.600660000,-74.0604770,2694.0
4.600571000,-74.0606550,2694.0
4.600459000,-74.0608200,2694.0
4.600310000,-74.0609430,2694.0
4.600133000,-74.0611140,2694.0
4.600014000,-74.0612720,2694.0
4.600026000,-74.0615070,2695.0
4.600098000,-74.0617870,2695.0
4.600172000,-74.0619770,2697.0
4.600093000,-74.0621310,2698.0
4.599994000,-74.0623120,2700.0
4.599838000,-74.0624700,2700.0
4.599658000,-74.0626690,2700.0
4.599499000,-74.0628660,2700.0
4.599346000,-74.0630600,2701.0
4.599225000,-74.0632830,2702.0
4.599134000,-74.0634910,2703.0
4.599103000,-74.0636650,2703.0
4.599154000,-74.0638200,2705.0
4.599297000,-74.0639360,2706.0
4.599425000,-74.0640310,2706.0
4.599504000,-74.0641120,2707.0
4.599582000,-74.0642970,2710.0
4.599599000,-74.0644490,2710.0
4.599532000,-74.0645980,2711.0
4.599418000,-74.0647130,2711.0
4.599265000,-74.0648050,2711.0
4.599164000,-74.0648900,2711.0
4.599005000,-74.0649860,2712.0
4.598878000,-74.0650570,2717.0
4.598709000,-74.0650380,2718.0
4.598596000,-74.0649890,2721.0
4.598469000,-74.0649240,2722.0
4.598341000,-74.0649040,2722.0
4.598181000,-74.0648550,2723.0
4.598017000,-74.0648290,2726.0
4.597942000,-74.0647940,2728.0
4.597898000,-74.0647600,2733.0
4.597754000,-74.0647610,2734.0
4.597643000,-74.0647680,2737.0
4.597500000,-74.0647830,2739.0
4.597454000,-74.0648290,2742.0
4.597408000,-74.0648330,2744.0
4.597434000,-74.0647930,2746.0
4.597452000,-74.0648610,2750.0
4.597466000,-74.0647950,2751.0
4.597476000,-74.0647470,2750.0
4.597419000,-74.0647580,2751.0
4.597371000,-74.0647560,2747.0
4.597351000,-74.0647080,2749.0
4.597319000,-74.0646700,2750.0
4.597282000,-74.0646970,2751.0
4.597234000,-74.0647050,2749.0
4.597211000,-74.0646480,2750.0
4.597185000,-74.0646060,2752.0
4.597134000,-74.0645900,2751.0
4.597142000,-74.0645380,2751.0
4.597173000,-74.0645830,2751.0
